Gene	Transcript	Sample1	Sample2	Sample3
G01062	G01062T0	444.528	192.426	203.329
G01062	G01062T1	34	343	21
G03310	G03310T0	37.1276	85.4508	57.0405
G03310	G03310T1	1	3	0
G04034	G04034T0	72.8909	2499.18	2420.14
G04034	G04034T1	0.545	0	34
G04118	G04118T0	184.2	30.4259	49.581
G04118	G04118T1	1111	2	2
G04128	G04128T0	17.6967	4	11.866
G04128	G04128T1	343.323	54	0
G06174	G06174T0	20.5703	17.9616	12.4929
G06174	G06174T1	3	0	6
G09641	G09641T0	7.83827	98.0208	163.529
G09641	G09641T1	23432	0	7
G09736	G09736T0	7.11422	4612.98	2096.25
G09736	G09736T1	2	8	5
G11663	G11663T0	2	0.0579904	4
G11663	G11663T1	3	0	3
G13192	G13192T0	20.2461	57.7458	69.3749
G13192	G13192T1	2	7	3
G15088	G15088T0	3	6	2
G15088	G15088T1	2	4	9
